PMID	REGULATOR	REGULATED	NORMALIZED_EFFECT	sentence_tagged
15066032	NagC	chbB	repressor	Repression by @TF$ and ChbR in vivo A plasmid overexpressing ChbR produces very strong repression of the @Regulated$ â€“ lacZ fusion in a wild - type strain ( 37 - fold ) , whereas a plasmid overexpressing NagC produces less than twofold repression ( Table 5 ) .
15066032	NagC	chbB	no_relation	Repression by NagC and ChbR in vivo A plasmid overexpressing ChbR produces very strong repression of the @Regulated$ â€“ lacZ fusion in a wild - type strain ( 37 - fold ) , whereas a plasmid overexpressing @TF$ produces less than twofold repression ( Table 5 ) .
7545108	NagC	glmU	activator	Although the proximal site , BoxGl , is located at a position typical of prokaryotic activators ( Collado - Vides et al . , 1991 ; Gralla , 1991 ) , it is not sufficient to allow @TF$ to to activate @Regulated$ by itself ; this could be because NagC occupation of this lower affinity site is inadequate in the absence of the higher affinity upstream site .
7545108	NagC	glmU	no_relation	Although the proximal site , BoxGl , is located at a position typical of prokaryotic activators ( Collado - Vides et al . , 1991 ; Gralla , 1991 ) , it is not sufficient to allow NagC to to activate @Regulated$ by itself ; this could be because @TF$ occupation of this lower affinity site is inadequate in the absence of the higher affinity upstream site .
22101843	DcuS	citC	activator	However , the inactivation of @TF$ ( IMW553 ) led to a decrease of @Regulated$ - lacZ expression by a factor of 1.5 , which could be due to interaction between CitA and DcuS .
22101843	DcuS	citC	no_relation	However , the inactivation of DcuS ( IMW553 ) led to a decrease of @Regulated$ - lacZ expression by a factor of 1.5 , which could be due to interaction between CitA and @TF$ .
11139621	NagC	nagBE	repressor	Binding of NagC and Mlc to nagE operators in vivo As Mlc showed a stronger affinity for the nagE operator than NagC , it seemed possible that Mlc might be able to regulate the nagE promoter in the absence of NagC in vivo . ThreenagE â€“ lacZ fusions were tested : the standard â€˜ loop - forming â€™ @Regulated$ â€“ lacZ fusion , whose expression is repressed by @TF$ binding co - operatively to the nagE and nagB operators ; and two single operator nagE â€“ lacZ fusions , missing the nagB promoter / operator , but carrying the same nagE â€“ lacZ junction .
11139621	NagC	nagBE	no_relation	Binding of @TF$ and Mlc to nagE operators in vivo As Mlc showed a stronger affinity for the nagE operator than NagC , it seemed possible that Mlc might be able to regulate the nagE promoter in the absence of NagC in vivo . ThreenagE â€“ lacZ fusions were tested : the standard â€˜ loop - forming â€™ @Regulated$ â€“ lacZ fusion , whose expression is repressed by NagC binding co - operatively to the nagE and nagB operators ; and two single operator nagE â€“ lacZ fusions , missing the nagB promoter / operator , but carrying the same nagE â€“ lacZ junction .
11139621	NagC	nagBE	no_relation	Binding of NagC and Mlc to nagE operators in vivo As Mlc showed a stronger affinity for the nagE operator than @TF$ , it seemed possible that Mlc might be able to regulate the nagE promoter in the absence of NagC in vivo . ThreenagE â€“ lacZ fusions were tested : the standard â€˜ loop - forming â€™ @Regulated$ â€“ lacZ fusion , whose expression is repressed by NagC binding co - operatively to the nagE and nagB operators ; and two single operator nagE â€“ lacZ fusions , missing the nagB promoter / operator , but carrying the same nagE â€“ lacZ junction .
11139621	NagC	nagBE	no_relation	Binding of NagC and Mlc to nagE operators in vivo As Mlc showed a stronger affinity for the nagE operator than NagC , it seemed possible that Mlc might be able to regulate the nagE promoter in the absence of @TF$ in vivo . ThreenagE â€“ lacZ fusions were tested : the standard â€˜ loop - forming â€™ @Regulated$ â€“ lacZ fusion , whose expression is repressed by NagC binding co - operatively to the nagE and nagB operators ; and two single operator nagE â€“ lacZ fusions , missing the nagB promoter / operator , but carrying the same nagE â€“ lacZ junction .
22101843	DcuR	citAB	activator	The impact of DcuR on citC expression might be due to a transcriptional activation of @Regulated$ by @TF$ , as discussed below .
22101843	DcuR	citAB	no_relation	The impact of @TF$ on citC expression might be due to a transcriptional activation of @Regulated$ by DcuR , as discussed below .
17238917	NagC	fimB	activator	The results of this analysis confirm this assertion , and show additionally that @TF$ is also better able to We previously presented evidence suggesting that the D2 region , and hence NanR and NagC , could activate @Regulated$ expression by blocking the inhibitory effect of additional cis - acting element ( s ) positioned closer to nanC ( El - Labany et al . , 2003 ) .
17238917	NagC	fimB	no_relation	The results of this analysis confirm this assertion , and show additionally that NagC is also better able to We previously presented evidence suggesting that the D2 region , and hence NanR and @TF$ , could activate @Regulated$ expression by blocking the inhibitory effect of additional cis - acting element ( s ) positioned closer to nanC ( El - Labany et al . , 2003 ) .
15066032	ChbR	chbB	repressor	Effect of excess @TF$ and NagC on repression of the @Regulated$ â€“ lacZ fusion . wild type nagC chbR pTZ ( NagC ) 48 Â± 6 47 Â± 3 83 Â± 4 pTZ ( Mlc ) 42 Â± 4 62 Â± 3 56 Â± 4 pTZ ( ChbR ) 2.3 Â± 0.2 32 Â± 2 2.8 Â± 0.5 pTZ control .
15066032	ChbR	chbB	no_relation	Effect of excess ChbR and NagC on repression of the @Regulated$ â€“ lacZ fusion . wild type nagC chbR pTZ ( NagC ) 48 Â± 6 47 Â± 3 83 Â± 4 pTZ ( Mlc ) 42 Â± 4 62 Â± 3 56 Â± 4 pTZ ( @TF$ ) 2.3 Â± 0.2 32 Â± 2 2.8 Â± 0.5 pTZ control .
15066032	NagC	chbB	repressor	Effect of excess ChbR and @TF$ on repression of the @Regulated$ â€“ lacZ fusion . wild type nagC chbR pTZ ( NagC ) 48 Â± 6 47 Â± 3 83 Â± 4 pTZ ( Mlc ) 42 Â± 4 62 Â± 3 56 Â± 4 pTZ ( ChbR ) 2.3 Â± 0.2 32 Â± 2 2.8 Â± 0.5 pTZ control .
15066032	NagC	chbB	no_relation	Effect of excess ChbR and NagC on repression of the @Regulated$ â€“ lacZ fusion . wild type nagC chbR pTZ ( @TF$ ) 48 Â± 6 47 Â± 3 83 Â± 4 pTZ ( Mlc ) 42 Â± 4 62 Â± 3 56 Â± 4 pTZ ( ChbR ) 2.3 Â± 0.2 32 Â± 2 2.8 Â± 0.5 pTZ control .
12675795	MelR	melAB	activator	Measurements of b - galactosidase activities in the resulting transformants indicated that none of the single base changes in MelR binding site 2 significantly affected @TF$ - dependent activation of the JK22 @Regulated$ promoter ( data not shown ) .
12675795	MelR	melAB	no_relation	Measurements of b - galactosidase activities in the resulting transformants indicated that none of the single base changes in @TF$ binding site 2 significantly affected MelR - dependent activation of the JK22 @Regulated$ promoter ( data not shown ) .
11004182	NarL	nrfA	activator	This indicates that ( i ) the 70 NarL heptamer site is essential for @TF$ to function as an activator of @Regulated$ expression and that ( ii ) other sites are used for NarL to repress expression independently of the 70 site , in contrast to prior interpretations ( see Discussion ) .
11004182	NarL	nrfA	no_relation	This indicates that ( i ) the 70 @TF$ heptamer site is essential for NarL to function as an activator of @Regulated$ expression and that ( ii ) other sites are used for NarL to repress expression independently of the 70 site , in contrast to prior interpretations ( see Discussion ) .
11004182	NarL	nrfA	no_relation	This indicates that ( i ) the 70 NarL heptamer site is essential for NarL to function as an activator of @Regulated$ expression and that ( ii ) other sites are used for @TF$ to repress expression independently of the 70 site , in contrast to prior interpretations ( see Discussion ) .
10760179	MelR	melR	repressor	Thus , the @Regulated$ promoter is not efficiently repressed by MelR and @TF$ is overexpressed .
10760179	MelR	melR	no_relation	Thus , the @Regulated$ promoter is not efficiently repressed by @TF$ and MelR is overexpressed .
9696769	Fnr	napF	activator	In this study we confirmed the location of the Fnr - binding site at position 64.5 and supported the idea that the mechanism of @TF$ - dependent activation of @Regulated$ expression is distinct from that of promoters with the Fnr - binding site at position 41.5 .
9696769	Fnr	napF	no_relation	In this study we confirmed the location of the @TF$ - binding site at position 64.5 and supported the idea that the mechanism of Fnr - dependent activation of @Regulated$ expression is distinct from that of promoters with the Fnr - binding site at position 41.5 .
9696769	Fnr	napF	no_relation	In this study we confirmed the location of the Fnr - binding site at position 64.5 and supported the idea that the mechanism of Fnr - dependent activation of @Regulated$ expression is distinct from that of promoters with the @TF$ - binding site at position 41.5 .
11139621	Mlc	nagBE	repressor	To verify that Mlc does bind preferentially to the nagE operator in vivo , the effect of plasmids overproducing either Mlc or NagC was tested in a strain mutated for both mlc and nagC . Plasmids expressing either NagC or @TF$ produce considerable repression of the @Regulated$ â€“ lacZ looped fusion , reducing expression 88 - and 56 - fold ( Table 2 ) .
11139621	Mlc	nagBE	no_relation	To verify that @TF$ does bind preferentially to the nagE operator in vivo , the effect of plasmids overproducing either Mlc or NagC was tested in a strain mutated for both mlc and nagC . Plasmids expressing either NagC or Mlc produce considerable repression of the @Regulated$ â€“ lacZ looped fusion , reducing expression 88 - and 56 - fold ( Table 2 ) .
11139621	Mlc	nagBE	no_relation	To verify that Mlc does bind preferentially to the nagE operator in vivo , the effect of plasmids overproducing either @TF$ or NagC was tested in a strain mutated for both mlc and nagC . Plasmids expressing either NagC or Mlc produce considerable repression of the @Regulated$ â€“ lacZ looped fusion , reducing expression 88 - and 56 - fold ( Table 2 ) .
11139621	NagC	nagBE	repressor	To verify that Mlc does bind preferentially to the nagE operator in vivo , the effect of plasmids overproducing either Mlc or NagC was tested in a strain mutated for both mlc and nagC . Plasmids expressing either @TF$ or Mlc produce considerable repression of the @Regulated$ â€“ lacZ looped fusion , reducing expression 88 - and 56 - fold ( Table 2 ) .
11139621	NagC	nagBE	no_relation	To verify that Mlc does bind preferentially to the nagE operator in vivo , the effect of plasmids overproducing either Mlc or @TF$ was tested in a strain mutated for both mlc and nagC . Plasmids expressing either NagC or Mlc produce considerable repression of the @Regulated$ â€“ lacZ looped fusion , reducing expression 88 - and 56 - fold ( Table 2 ) .
8636021	MarA	zwf	activator	We surmise , from the distance of this marbox ( centered at - 61.5 ) to the putative - 35 transcriptional signal ( 17 , 18 ) , that activation of mar by MarA requires interaction with the carboxy - terminal domain of the alpha subunit of RNA polymerase , i . e . , that @TF$ is a class I activator ( 16 ) of mar as it is for @Regulated$ .
8636021	MarA	zwf	no_relation	We surmise , from the distance of this marbox ( centered at - 61.5 ) to the putative - 35 transcriptional signal ( 17 , 18 ) , that activation of mar by @TF$ requires interaction with the carboxy - terminal domain of the alpha subunit of RNA polymerase , i . e . , that MarA is a class I activator ( 16 ) of mar as it is for @Regulated$ .
11139621	NagC	nagBE	repressor	The preferential repression by @TF$ at the looped @Regulated$ â€“ lacZ fusion , compared with the nagE â€“ lacZ fusion with a single operator site , emphasises that regulation by NagC is normally dependent upon DNA loop formation involving the higher - affinity nagB operator .
11139621	NagC	nagBE	no_relation	The preferential repression by NagC at the looped @Regulated$ â€“ lacZ fusion , compared with the nagE â€“ lacZ fusion with a single operator site , emphasises that regulation by @TF$ is normally dependent upon DNA loop formation involving the higher - affinity nagB operator .
11073923	CRP	rhaSR	activator	Taken together , our results suggest that CRP site 3 is the major site required for @TF$ activation of @Regulated$ expression .
11073923	CRP	rhaSR	no_relation	Taken together , our results suggest that @TF$ site 3 is the major site required for CRP activation of @Regulated$ expression .
11073923	CRP	rhaSR	activator	Since we now had evidence that @TF$ was a direct activator of @Regulated$ expression , we wished to determine whether AR1 and / or AR2 of CRP were necessary for this activation .
11073923	CRP	rhaSR	no_relation	Since we now had evidence that CRP was a direct activator of @Regulated$ expression , we wished to determine whether AR1 and / or AR2 of @TF$ were necessary for this activation .
24593230	ChbR	chbCBA	activator	First , expression of the inner membrane transporter @Regulated$ is activated directly by the @TF$ protein , which allows entry of Chb - 6P and generation of the specific ChbR - inducing signal ( by action of ChbG enzyme ; Verma and Mahadevan , 2012 ) .
24593230	ChbR	chbCBA	no_relation	First , expression of the inner membrane transporter @Regulated$ is activated directly by the ChbR protein , which allows entry of Chb - 6P and generation of the specific @TF$ - inducing signal ( by action of ChbG enzyme ; Verma and Mahadevan , 2012 ) .
18346968	MelR	melR	repressor	Thus , TB201 is a derivative of TB20 in which the DNA site for CRP located between MelR site 1 Other determinants for @TF$ - dependent repression of the @Regulated$ promoter To investigate the effects of altering the spacing between MelR - binding site R and the upstream sites , derivatives of the TB22 fragment with 5 - or 10 - bp deletions , or with 5 - , 41 - or 91 - bp insertions were constructed ( see Figure 6A and Materials and methods section ) .
18346968	MelR	melR	no_relation	Thus , TB201 is a derivative of TB20 in which the DNA site for CRP located between @TF$ site 1 Other determinants for MelR - dependent repression of the @Regulated$ promoter To investigate the effects of altering the spacing between MelR - binding site R and the upstream sites , derivatives of the TB22 fragment with 5 - or 10 - bp deletions , or with 5 - , 41 - or 91 - bp insertions were constructed ( see Figure 6A and Materials and methods section ) .
18346968	MelR	melR	no_relation	Thus , TB201 is a derivative of TB20 in which the DNA site for CRP located between MelR site 1 Other determinants for MelR - dependent repression of the @Regulated$ promoter To investigate the effects of altering the spacing between @TF$ - binding site R and the upstream sites , derivatives of the TB22 fragment with 5 - or 10 - bp deletions , or with 5 - , 41 - or 91 - bp insertions were constructed ( see Figure 6A and Materials and methods section ) .
11139621	Mlc	ptsG	regulator	The expression of @Regulated$ is controlled by @TF$ binding to two operators upstream of two promoters , both of which are subject to Mlc repression .
11139621	Mlc	ptsG	no_relation	The expression of @Regulated$ is controlled by Mlc binding to two operators upstream of two promoters , both of which are subject to @TF$ repression .
11139621	Mlc	ptsG	repressor	The expression of @Regulated$ is controlled by Mlc binding to two operators upstream of two promoters , both of which are subject to @TF$ repression .
11139621	Mlc	ptsG	no_relation	The expression of @Regulated$ is controlled by @TF$ binding to two operators upstream of two promoters , both of which are subject to Mlc repression .
19906180	Lrp	argO	regulator	The cooperative binding of @TF$ to the @Regulated$ control region and the footprinting data ( Figs 3 and 4 ) suggest the binding of at least three Lrp dimers to regularly spaced binding sites ( Fig . 1 ) and wrapping of the operator DNA .
19906180	Lrp	argO	no_relation	The cooperative binding of Lrp to the @Regulated$ control region and the footprinting data ( Figs 3 and 4 ) suggest the binding of at least three @TF$ dimers to regularly spaced binding sites ( Fig . 1 ) and wrapping of the operator DNA .
8729576	CRP	malEFG	activator	Some operons such as @Regulated$ are under the transcriptional activation by the response regulators in Group 1 as well as by @TF$ , suggesting that they can be transcribed in response to the sensing of respective sugars regardless of the absence or presence of cAMP - CRP .
8729576	CRP	malEFG	no_relation	Some operons such as @Regulated$ are under the transcriptional activation by the response regulators in Group 1 as well as by CRP , suggesting that they can be transcribed in response to the sensing of respective sugars regardless of the absence or presence of cAMP - @TF$ .
9469834	CAP	malT	activator	This was indeed suggested by DÃ©tiollaz et al . ( 49 ) on the basis that IHF sites replacing @TF$ sites allowed activation of the @Regulated$ promoter , albeit less than with CAP .
9469834	CAP	malT	no_relation	This was indeed suggested by DÃ©tiollaz et al . ( 49 ) on the basis that IHF sites replacing CAP sites allowed activation of the @Regulated$ promoter , albeit less than with @TF$ .
7601827	NarL	fdnGHI	activator	For example , nitrate induction of the narGHJI operon ( 21 ) and the narK gene ( 12 ) is controlled exclusively by NarL , while induction of the @Regulated$ operon is controlled principally by @TF$ , but NarP also effects a degree of control ( observed with a narL mutant ) ( 21 ) .
7601827	NarL	fdnGHI	no_relation	For example , nitrate induction of the narGHJI operon ( 21 ) and the narK gene ( 12 ) is controlled exclusively by @TF$ , while induction of the @Regulated$ operon is controlled principally by NarL , but NarP also effects a degree of control ( observed with a narL mutant ) ( 21 ) .
19007420	GalS	galS	regulator	It is interesting to note that the three central operators , galOE2 , OE3 and OE4 , which have higher affinity for GalS than GalR , all have A / T at positions 8 of the operators ( Fig . 1B ) which is also the case for the mglB and @Regulated$ operators ( Weickert and Adhya , 1993a , b ) which are preferentially regulated by @TF$ .
19007420	GalS	galS	no_relation	It is interesting to note that the three central operators , galOE2 , OE3 and OE4 , which have higher affinity for @TF$ than GalR , all have A / T at positions 8 of the operators ( Fig . 1B ) which is also the case for the mglB and @Regulated$ operators ( Weickert and Adhya , 1993a , b ) which are preferentially regulated by GalS .
19007420	GalS	mglB	regulator	It is interesting to note that the three central operators , galOE2 , OE3 and OE4 , which have higher affinity for GalS than GalR , all have A / T at positions 8 of the operators ( Fig . 1B ) which is also the case for the @Regulated$ and galS operators ( Weickert and Adhya , 1993a , b ) which are preferentially regulated by @TF$ .
19007420	GalS	mglB	no_relation	It is interesting to note that the three central operators , galOE2 , OE3 and OE4 , which have higher affinity for @TF$ than GalR , all have A / T at positions 8 of the operators ( Fig . 1B ) which is also the case for the @Regulated$ and galS operators ( Weickert and Adhya , 1993a , b ) which are preferentially regulated by GalS .
8729576	RbsR	rbsDABCK	repressor	In practice , considerable similarity between the regulatory protein and the regulated protein is only seen in the regulatory protein RbsR and a periplasmic component RbsB of HAT , which is encoded by the operon @Regulated$ under the repression by @TF$ .
8729576	RbsR	rbsDABCK	no_relation	In practice , considerable similarity between the regulatory protein and the regulated protein is only seen in the regulatory protein @TF$ and a periplasmic component RbsB of HAT , which is encoded by the operon @Regulated$ under the repression by RbsR .
17513476	CRP	rhaBAD	activator	Finally , at the ( rhaB - lacZ ) 110 fusion , which contains the @TF$ site required for full @Regulated$ activation as well as the full RhaS binding site , there was a twofold contribution to activation by CRP when in combination with RhaS - CTD and a fivefold contribution to activation4990 WICKSTRUM ET AL . J .
17513476	CRP	rhaBAD	no_relation	Finally , at the ( rhaB - lacZ ) 110 fusion , which contains the CRP site required for full @Regulated$ activation as well as the full RhaS binding site , there was a twofold contribution to activation by @TF$ when in combination with RhaS - CTD and a fivefold contribution to activation4990 WICKSTRUM ET AL . J .
11357510	FNR	hemA	repressor	Melville and Gunsalus ( 1996 ) reported that the @Regulated$ gene , which is also repressed by @TF$ , contains only one half - site of FNR consensus sequence .
11357510	FNR	hemA	no_relation	Melville and Gunsalus ( 1996 ) reported that the @Regulated$ gene , which is also repressed by FNR , contains only one half - site of @TF$ consensus sequence .
17238917	GlcC	glcDEFGB	activator	We note that such an effect is not unprecedented for a member of the GntR / FadR family of transcriptional regulators like NanR ( Rigali et al . , 2002 ; Kalivoda et al . , 2003 ) ; activation of the @Regulated$ operon by @TF$ and IHF is thought to occur in this way , with IHF bound to a site between the promoter and a distant ( &gt; - 170 bp ) upstream activating site for GlcC ( Pellicer et al . , 1999 ) .
17238917	GlcC	glcDEFGB	no_relation	We note that such an effect is not unprecedented for a member of the GntR / FadR family of transcriptional regulators like NanR ( Rigali et al . , 2002 ; Kalivoda et al . , 2003 ) ; activation of the @Regulated$ operon by GlcC and IHF is thought to occur in this way , with IHF bound to a site between the promoter and a distant ( &gt; - 170 bp ) upstream activating site for @TF$ ( Pellicer et al . , 1999 ) .
17238917	IHF	glcDEFGB	activator	We note that such an effect is not unprecedented for a member of the GntR / FadR family of transcriptional regulators like NanR ( Rigali et al . , 2002 ; Kalivoda et al . , 2003 ) ; activation of the @Regulated$ operon by GlcC and @TF$ is thought to occur in this way , with IHF bound to a site between the promoter and a distant ( &gt; - 170 bp ) upstream activating site for GlcC ( Pellicer et al . , 1999 ) .
17238917	IHF	glcDEFGB	no_relation	We note that such an effect is not unprecedented for a member of the GntR / FadR family of transcriptional regulators like NanR ( Rigali et al . , 2002 ; Kalivoda et al . , 2003 ) ; activation of the @Regulated$ operon by GlcC and IHF is thought to occur in this way , with @TF$ bound to a site between the promoter and a distant ( &gt; - 170 bp ) upstream activating site for GlcC ( Pellicer et al . , 1999 ) .
15342598	RhaR	rhaSR	activator	Previous results showing an interaction between RhaS D241 and 70 R599 at rhaBAD ( 4 ) led us to investigate whether an interaction between RhaR D276 and 70 R599 might be required for @TF$ activation at @Regulated$ .
15342598	RhaR	rhaSR	no_relation	Previous results showing an interaction between RhaS D241 and 70 R599 at rhaBAD ( 4 ) led us to investigate whether an interaction between @TF$ D276 and 70 R599 might be required for RhaR activation at @Regulated$ .
18227264	NarL	frdA	repressor	 @TF$ - mediated repression of the @Regulated$ promoter is achieved by NarL binding over a large region centred near the transcription start site and including the FNR site ( Li et al . , 1994 ) .
18227264	NarL	frdA	no_relation	NarL - mediated repression of the @Regulated$ promoter is achieved by @TF$ binding over a large region centred near the transcription start site and including the FNR site ( Li et al . , 1994 ) .
18227264	FNR	dmsA	activator	Similarly , at the @TF$ - activated NarL - repressed @Regulated$ promoter NarL protects a large region that includes the sites for both FNR and RNA polymerase binding ( Bearson et al . , 2002 ) .
18227264	FNR	dmsA	no_relation	Similarly , at the FNR - activated NarL - repressed @Regulated$ promoter NarL protects a large region that includes the sites for both @TF$ and RNA polymerase binding ( Bearson et al . , 2002 ) .
18227264	NarL	dmsA	repressor	Similarly , at the FNR - activated @TF$ - repressed @Regulated$ promoter NarL protects a large region that includes the sites for both FNR and RNA polymerase binding ( Bearson et al . , 2002 ) .
18227264	NarL	dmsA	no_relation	Similarly , at the FNR - activated NarL - repressed @Regulated$ promoter @TF$ protects a large region that includes the sites for both FNR and RNA polymerase binding ( Bearson et al . , 2002 ) .
7643383	NarL	frdA	regulator	However , narG and @Regulated$ operon expression is regulated by the @TF$ protein alone ( Rabin &amp; Stewart , 1993 ) , suggesting that the NarL binding sites in these control regions are not efficiently recognized by the NarP protein .
7643383	NarL	frdA	no_relation	However , narG and @Regulated$ operon expression is regulated by the NarL protein alone ( Rabin &amp; Stewart , 1993 ) , suggesting that the @TF$ binding sites in these control regions are not efficiently recognized by the NarP protein .
7643383	NarL	narG	regulator	However , @Regulated$ and frdA operon expression is regulated by the @TF$ protein alone ( Rabin &amp; Stewart , 1993 ) , suggesting that the NarL binding sites in these control regions are not efficiently recognized by the NarP protein .
7643383	NarL	narG	no_relation	However , @Regulated$ and frdA operon expression is regulated by the NarL protein alone ( Rabin &amp; Stewart , 1993 ) , suggesting that the @TF$ binding sites in these control regions are not efficiently recognized by the NarP protein .
12675795	AraC	araBAD	activator	For example , with @TF$ at the @Regulated$ promoter , a combination of genetics and biochemistry has shown that the binding orientation is such that the C - terminally located HTH motif is adjacent to the promoter - 35 element ( Niland et al . , 1996 ) , and that , during activation , AraC binds to two adjacent sites as a direct repeat ( Reeder and Schleif , 1993 ) .
12675795	AraC	araBAD	no_relation	For example , with AraC at the @Regulated$ promoter , a combination of genetics and biochemistry has shown that the binding orientation is such that the C - terminally located HTH motif is adjacent to the promoter - 35 element ( Niland et al . , 1996 ) , and that , during activation , @TF$ binds to two adjacent sites as a direct repeat ( Reeder and Schleif , 1993 ) .
18227264	NarP	fdnGHI	repressor	Nevertheless , in contrast to the ydhY â€“ T promoter , where NarP - mediated repression requires a 7 - 2 - 7 site centred at + 10.5 , occupation of which will probably inhibit RNA polymerase binding , the @Regulated$ promoter possesses a @TF$ - binding 7 - 2 - 7 site centred at 2104.5 that is thought to antagonize activation by NarL ( Wang &amp; Gunsalus , 2003 ) .
18227264	NarP	fdnGHI	no_relation	Nevertheless , in contrast to the ydhY â€“ T promoter , where @TF$ - mediated repression requires a 7 - 2 - 7 site centred at + 10.5 , occupation of which will probably inhibit RNA polymerase binding , the @Regulated$ promoter possesses a NarP - binding 7 - 2 - 7 site centred at 2104.5 that is thought to antagonize activation by NarL ( Wang &amp; Gunsalus , 2003 ) .
11073923	CRP	rhaSR	activator	It is unlikely that @TF$ binding to site 4 contributes directly to an increase in @Regulated$ expression , since transcription activation by CRP requires that its binding site be on the same face of the DNA as the promoter ( 6 ) .
11073923	CRP	rhaSR	no_relation	It is unlikely that CRP binding to site 4 contributes directly to an increase in @Regulated$ expression , since transcription activation by @TF$ requires that its binding site be on the same face of the DNA as the promoter ( 6 ) .
18227264	NarP	ydhY	repressor	Nevertheless , in contrast to the @Regulated$ â€“ T promoter , where @TF$ - mediated repression requires a 7 - 2 - 7 site centred at + 10.5 , occupation of which will probably inhibit RNA polymerase binding , the fdnGHI promoter possesses a NarP - binding 7 - 2 - 7 site centred at 2104.5 that is thought to antagonize activation by NarL ( Wang &amp; Gunsalus , 2003 ) .
18227264	NarP	ydhY	no_relation	Nevertheless , in contrast to the @Regulated$ â€“ T promoter , where NarP - mediated repression requires a 7 - 2 - 7 site centred at + 10.5 , occupation of which will probably inhibit RNA polymerase binding , the fdnGHI promoter possesses a @TF$ - binding 7 - 2 - 7 site centred at 2104.5 that is thought to antagonize activation by NarL ( Wang &amp; Gunsalus , 2003 ) .
7643383	NarL	aeg	repressor	Negative regulation of @Regulated$ - 46.5 operon expression by the @TF$ protein In addition to its function as a transcriptional activator , the NarL protein negatively regulates expression of the frdA , dmsA and nrfA operons in response to nitrate availability .
7643383	NarL	aeg	no_relation	Negative regulation of @Regulated$ - 46.5 operon expression by the NarL protein In addition to its function as a transcriptional activator , the @TF$ protein negatively regulates expression of the frdA , dmsA and nrfA operons in response to nitrate availability .
7643383	NarL	dmsA	repressor	Negative regulation of aeg - 46.5 operon expression by the NarL protein In addition to its function as a transcriptional activator , the @TF$ protein negatively regulates expression of the frdA , @Regulated$ and nrfA operons in response to nitrate availability .
7643383	NarL	dmsA	no_relation	Negative regulation of aeg - 46.5 operon expression by the @TF$ protein In addition to its function as a transcriptional activator , the NarL protein negatively regulates expression of the frdA , @Regulated$ and nrfA operons in response to nitrate availability .
7643383	NarL	frdA	repressor	Negative regulation of aeg - 46.5 operon expression by the NarL protein In addition to its function as a transcriptional activator , the @TF$ protein negatively regulates expression of the @Regulated$ , dmsA and nrfA operons in response to nitrate availability .
7643383	NarL	frdA	no_relation	Negative regulation of aeg - 46.5 operon expression by the @TF$ protein In addition to its function as a transcriptional activator , the NarL protein negatively regulates expression of the @Regulated$ , dmsA and nrfA operons in response to nitrate availability .
7643383	NarL	aeg	repressor	 @Regulated$ - 46.5 operon expression is also negatively regulated by the @TF$ protein but in this case NarL does not appear to act as a classical repressor .
7643383	NarL	aeg	no_relation	 @Regulated$ - 46.5 operon expression is also negatively regulated by the NarL protein but in this case @TF$ does not appear to act as a classical repressor .
18346968	MelR	melR	repressor	We previously suggested that a MelR dimer simultaneously occupies site R and site 2 , creating a repression loop and the effects of different insertions and deletions on @TF$ - dependent repression of the @Regulated$ promoter ( Figure 6 ) are consistent with this ( 17 ) .
18346968	MelR	melR	no_relation	We previously suggested that a @TF$ dimer simultaneously occupies site R and site 2 , creating a repression loop and the effects of different insertions and deletions on MelR - dependent repression of the @Regulated$ promoter ( Figure 6 ) are consistent with this ( 17 ) .
7643383	NarP	aeg	activator	The NarL and NarP proteins compete for the 44.5 binding site ; binding of @TF$ further induces @Regulated$ - 46.5 operon expression , whereas binding of NarL has no significant effect on the basal anaerobic ( Fnr - dependent ) level of expression .
7643383	NarP	aeg	no_relation	The NarL and @TF$ proteins compete for the 44.5 binding site ; binding of NarP further induces @Regulated$ - 46.5 operon expression , whereas binding of NarL has no significant effect on the basal anaerobic ( Fnr - dependent ) level of expression .
15066032	NagC	glmUS	repressor	Compared with other operons regulated by @TF$ , nagE - BACD and @Regulated$ , it is very likely that the repression complex involves an interaction between NagC bound to its two sites , NagC1 and NagC2 , so that a DNA loop is formed .
15066032	NagC	glmUS	no_relation	Compared with other operons regulated by NagC , nagE - BACD and @Regulated$ , it is very likely that the repression complex involves an interaction between @TF$ bound to its two sites , NagC1 and NagC2 , so that a DNA loop is formed .
11139621	Mlc	nagE	repressor	However the much stronger repression of this fusion by overproduced Mlc , compared with overproduced NagC , shows that the isolated @Regulated$ operator site has a higher affinity for @TF$ than NagC .
11139621	Mlc	nagE	no_relation	However the much stronger repression of this fusion by overproduced @TF$ , compared with overproduced NagC , shows that the isolated @Regulated$ operator site has a higher affinity for Mlc than NagC .
11139621	NagC	nagE	repressor	However the much stronger repression of this fusion by overproduced Mlc , compared with overproduced NagC , shows that the isolated @Regulated$ operator site has a higher affinity for Mlc than @TF$ .
11139621	NagC	nagE	no_relation	However the much stronger repression of this fusion by overproduced Mlc , compared with overproduced @TF$ , shows that the isolated @Regulated$ operator site has a higher affinity for Mlc than NagC .
7643383	NarP	aeg	activator	Since only the @TF$ protein can activate @Regulated$ - 46.5 operon expression ( again , presumably by interacting with RNA polymerase ) , the competition from NarL for the binding sites would lead to an antagonization of NarP activation .
7643383	NarP	aeg	no_relation	Since only the NarP protein can activate @Regulated$ - 46.5 operon expression ( again , presumably by interacting with RNA polymerase ) , the competition from NarL for the binding sites would lead to an antagonization of @TF$ activation .
